Humidity,Visibility (km),Temperature (C)
0.89,0.983,0.5234860409245299
0.86,0.983,0.5210835887664651
0.89,0.9289999999999998,0.5531438985999504
0.83,0.983,0.5019468146798112
0.83,0.983,0.5173556457625715
0.85,0.9289999999999998,0.5193438820313148
0.95,0.6199999999999999,0.49565073316212416
0.89,0.6199999999999999,0.510645348355563
0.82,0.6199999999999999,0.5746831248446691
0.72,0.6199999999999999,0.618672852290614
0.67,0.696,0.6521414961477923
0.54,0.711,0.6689586612542457
0.55,0.6999999999999998,0.6787341562422335
0.51,0.6999999999999998,0.6717753293016321
0.47,0.711,0.6948057327479084
0.46,0.6999999999999998,0.6953027918150942
0.6,0.6999999999999998,0.6427802170491261
0.63,0.711,0.6451826692071909
0.69,0.696,0.6258802087648083
0.7,0.696,0.6093115731919476
0.77,0.6849999999999998,0.5855355811448928
0.76,0.6199999999999999,0.5800679314058488
0.79,0.983,0.5641620412559026
0.77,0.9289999999999998,0.5654046889238672
0.62,0.983,0.5687184160384393
0.66,0.983,0.5261370226161877
0.8,0.9289999999999998,0.5800679314058488
0.79,0.983,0.4885262198657941
0.82,0.983,0.4851296495733577
0.83,0.9289999999999998,0.477011018142656
0.85,0.38499999999999995,0.49018308342308015
0.83,0.5,0.4957335763399885
0.78,0.6199999999999999,0.5316046723552317
0.72,0.6199999999999999,0.5955596056664734
0.61,0.6199999999999999,0.6383895286223181
0.52,0.6199999999999999,0.6721067020130893
0.46,0.6199999999999999,0.6967111258387872
0.4,0.6199999999999999,0.7122028000994118
0.4,0.6429999999999999,0.7271974152928508
0.37,0.6199999999999999,0.729185651561594
0.4,0.6199999999999999,0.7132797614116477
0.36,0.6429999999999999,0.7147709386132053
0.43,0.6199999999999999,0.7115400546764975
0.5,0.696,0.6787341562422335
0.53,0.6199999999999999,0.6528042415707067
0.55,0.6199999999999999,0.6373125673100821
0.58,0.983,0.6283655041007374
0.59,0.9289999999999998,0.6258802087648083
0.6,0.983,0.618672852290614
0.63,0.983,0.6113826526385553
0.87,0.416,0.49482230138348116
0.83,0.983,0.5810620495402204
0.89,0.615,0.5800679314058488
0.95,0.416,0.5727777317537901
0.93,0.371,0.5789909700936129
0.93,0.6709999999999999,0.5789909700936129
0.82,0.6629999999999999,0.5947311738878304
0.79,0.6719999999999999,0.6035125507414465
0.84,0.6719999999999999,0.6196669704249855
0.73,0.6679999999999999,0.6546267914837214
0.67,0.6769999999999998,0.6745091541711541
0.67,0.674,0.6725209179024108
0.71,0.688,0.6721895451909536
0.74,0.674,0.6698699362107532
0.81,0.6759999999999999,0.6464253168751555
0.9,0.47300000000000003,0.6157733410653633
0.86,0.16499999999999998,0.576008615690498
0.99,0.16499999999999998,0.49225416286968776
0.93,0.23700000000000004,0.49946151934388205
0.96,0.27899999999999997,0.4819816088145142
0.96,0.27599999999999997,0.46880954353409005
0.96,0.353,0.4826443542374286
0.96,0.19299999999999998,0.48894043575511564
0.93,0.19899999999999998,0.47850219534421345
0.82,0.8729999999999999,0.5055090713279762
0.93,0.37999999999999995,0.4884433766879298
0.93,0.37999999999999995,0.45232375113909373
0.93,0.383,0.46135365752630275
0.93,0.495,0.43790903819070504
0.93,0.39399999999999996,0.43766050865711215
0.93,0.6549999999999999,0.43558942921050453
0.8,0.696,0.45340071245132973
0.86,0.6999999999999998,0.46151934388203136
0.84,0.6549999999999999,0.4661585618424324
0.77,0.6999999999999998,0.4902659266009445
0.71,0.6999999999999998,0.5123850550907133
0.71,0.688,0.5109767210670202
0.71,0.6999999999999998,0.5783282246706984
0.76,0.6999999999999998,0.5641620412559026
0.66,0.6199999999999999,0.5779140087813769
0.7,0.9259999999999998,0.5721149863308758
0.7,0.6199999999999999,0.5631679231215311
0.66,0.6849999999999998,0.5283737884185238
0.71,0.6199999999999999,0.5149531936045068
0.72,0.983,0.49391102642697376
0.72,0.932,0.504597796371469
0.75,0.9859999999999999,0.5059232872172977
0.75,0.9859999999999999,0.5028580896363185
0.88,0.6199999999999999,0.4944080854941596
0.76,0.983,0.4811531770358711
0.7,0.983,0.4604423825697954
0.73,0.9289999999999998,0.453483555629194
0.76,0.6199999999999999,0.45505757600861574
0.76,0.6199999999999999,0.44967276944743606
0.76,0.6199999999999999,0.4568801259216304
0.71,0.6199999999999999,0.4704664070913761
0.73,0.6199999999999999,0.4765968022533345
0.72,0.6199999999999999,0.4851296495733577
0.7,0.6239999999999999,0.5038522077706902
0.7,0.6239999999999999,0.5263855521497806
0.65,0.623,0.548670366995278
0.62,0.6199999999999999,0.5482561511059565
0.65,0.696,0.5482561511059565
0.65,0.6849999999999998,0.5502443873746998
0.7,0.6199999999999999,0.5244801590589016
0.75,0.6199999999999999,0.5148703504266424
0.75,0.6199999999999999,0.5092370143318699
0.82,0.6199999999999999,0.5046806395493332
0.83,0.744,0.4849639632176291
0.84,0.8800000000000002,0.4905972993124017
0.85,0.9259999999999998,0.4746085659845912
0.88,0.9259999999999998,0.4641703255736891
0.88,0.932,0.5376522243393257
0.91,0.6199999999999999,0.4746085659845912
0.94,0.6199999999999999,0.451578162538315
0.93,0.368,0.46856101400049716
0.92,0.076,0.4910115152017232
0.92,0.448,0.4824786678817
0.87,0.6629999999999999,0.5036036782370972
0.76,0.696,0.5631679231215311
0.66,0.6199999999999999,0.5952282329550163
0.63,0.6849999999999998,0.6026841189628035
0.58,0.6999999999999998,0.6210753044486788
0.59,0.6999999999999998,0.6383895286223181
0.5,0.711,0.6392179604009611
0.44,0.6999999999999998,0.654543948305857
0.55,0.6999999999999998,0.655620909618093
0.5,0.711,0.6562836550410074
0.56,0.6910000000000001,0.6533841438157568
0.68,0.6999999999999998,0.6064949051445614
0.64,0.711,0.6198326567807142
0.69,0.6239999999999999,0.6038439234529038
0.72,0.9859999999999999,0.5944826443542375
0.81,0.932,0.5725292022201972
0.83,0.9859999999999999,0.5690497887498965
0.8,0.9859999999999999,0.5544693894457792
0.74,0.9289999999999998,0.5777483224256483
0.93,0.9259999999999998,0.5197580979206363
0.89,0.9259999999999998,0.4974732830751388
0.86,0.8309999999999998,0.5118879960235275
0.86,0.6199999999999999,0.4857095518184078
0.84,0.6199999999999999,0.5182669207190789
0.84,0.6199999999999999,0.5234031977466655
0.72,0.6199999999999999,0.593819898931323
0.71,0.696,0.6038439234529038
0.65,0.711,0.6192527545356641
0.48,0.6999999999999998,0.6521414961477923
0.47,0.6999999999999998,0.6687101317206529
0.43,0.711,0.6689586612542457
0.4,0.696,0.6784027835307763
0.37,0.696,0.6784027835307763
0.43,0.6429999999999999,0.6788169994200979
0.52,0.6199999999999999,0.6542125755943998
0.63,0.6199999999999999,0.6228150111838291
0.67,0.6199999999999999,0.6084831414133047
0.72,0.6199999999999999,0.596553723800845
0.66,0.983,0.6038439234529038
0.67,0.9289999999999998,0.6030983348521249
0.69,0.983,0.5962223510893878
0.71,0.983,0.5879380333029576
0.86,0.8800000000000002,0.5747659680225334
0.59,0.983,0.5952282329550163
0.6,0.983,0.5952282329550163
0.68,0.9289999999999998,0.5876066605915004
0.77,0.6199999999999999,0.580399304117306
0.77,0.6199999999999999,0.57932234280507
0.77,0.6429999999999999,0.5838787175876068
0.81,0.6199999999999999,0.6076547096346617
0.62,0.6999999999999998,0.6704498384558033
0.53,0.711,0.6778228812857262
0.56,0.6999999999999998,0.679396901665148
0.56,0.6999999999999998,0.6945572032143155
0.56,0.7079999999999999,0.6916576919890647
0.56,0.6999999999999998,0.6790655289536907
0.59,0.6999999999999998,0.6787341562422335
0.57,0.7079999999999999,0.672023858835225
0.67,0.696,0.652887084748571
0.73,0.696,0.6359870764642532
0.78,0.7009999999999998,0.6209096180929501
0.84,0.688,0.6035125507414465
0.84,0.975,0.6035125507414465
0.86,0.924,0.5977963714688097
0.93,0.983,0.5800679314058488
0.9,0.983,0.5872752878800431
0.95,0.425,0.5231546682130727
0.93,0.9259999999999998,0.5710380250186398
0.89,0.9259999999999998,0.5703752795957254
0.87,0.8800000000000002,0.5712037113743684
0.89,0.983,0.5517355645762573
0.86,0.6199999999999999,0.577665479247784
0.75,0.6199999999999999,0.6151934388203132
0.68,0.696,0.6204125590257643
0.67,0.696,0.6369811945986249
0.57,0.711,0.6695385634992959
0.62,0.6999999999999998,0.6548753210173143
0.56,0.696,0.6779885676414548
0.54,0.954,0.6877640626294426
0.59,0.6999999999999998,0.6790655289536907
0.57,0.6999999999999998,0.6714439565901749
0.55,0.711,0.6743434678154254
0.54,0.6199999999999999,0.6707812111672604
0.61,0.6199999999999999,0.6390522740452325
